cluster_id,time_floor_4h,Total_Footprint,Violation_Count,hour,day_of_week,Is_Weekend,month,Lag_1_Shift,Lag_1_Day,Lag_1_Week,Target,Predicted_Next_Shift_Footprint,Predicted_Next_Shift_Impact,center_lat,center_lon,primary_violation
114,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.870561056921739,77.65487131050435,WRONG PARKING
115,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.021672888535033,77.59259788980891,WRONG PARKING
116,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.989561208935282,77.50312721096033,NO PARKING
117,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.053528399447513,77.50763031933703,NO PARKING
118,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.033605517103657,77.55793675262196,NO PARKING
119,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.097715485714286,77.56373505714285,NO PARKING
121,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.875969857020905,77.59582803188152,NO PARKING
122,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.84183017348706,77.64608044631059,WRONG PARKING
123,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.906867513307088,77.54605048165354,PARKING IN A MAIN ROAD
124,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.888532128882835,77.56263689326975,NO PARKING
125,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.9063283,77.58138778214285,NO PARKING
126,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.869626109174312,77.53719936972477,WRONG PARKING
127,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.985986092857143,77.48764547857142,NO PARKING
128,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.06277185624333,77.58908703020276,WRONG PARKING
129,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.919249851851852,77.54212892925926,WRONG PARKING
130,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.974139827941176,77.50914353529413,NO PARKING
132,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.027825612304625,77.57481781948165,WRONG PARKING
133,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.983781301525424,77.52926960355931,WRONG PARKING
134,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.960430857894735,77.50503992105264,NO PARKING
135,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.936119257142856,77.60693821389961,NO PARKING
136,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.12157805735294,77.63105448382353,NO PARKING
137,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.035853702083335,77.56736418854167,NO PARKING
138,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.072542499999999,77.50330128333333,NO PARKING
139,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.892228190625,77.57208905,WRONG PARKING
140,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.985452838750001,77.47982647625,WRONG PARKING
141,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.89616439090909,77.5860019,NO PARKING
142,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.903203322222222,77.62609602698411,NO PARKING
143,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.905965638108109,77.54239151351352,WRONG PARKING
144,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.040924029411764,77.61742901176471,NO PARKING
145,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.019601983333335,77.61887031666667,WRONG PARKING
146,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.944704058333334,77.60274100833334,WRONG PARKING
147,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.9065195,77.57600836666667,WRONG PARKING
148,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.931839565135135,77.51563337900902,NO PARKING
149,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.035154463515902,77.62437359097173,NO PARKING
150,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.978024143859649,77.75126136491227,NO PARKING
151,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.972401283333333,77.75045453333333,PARKING IN A MAIN ROAD
152,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.967912384705883,77.74959885436975,PARKING IN A MAIN ROAD
153,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.985677442063492,77.58861940396825,WRONG PARKING
154,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.037399520689656,77.5353894862069,NO PARKING
155,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.0586345,77.58313520769231,WRONG PARKING
156,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.05672459542214,77.59263581893057,WRONG PARKING
157,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.985425736190477,77.59411276571429,NO PARKING
158,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.91082069638009,77.64464253122172,NO PARKING
159,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,13.00068802,77.53583509363636,WRONG PARKING
160,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.920294406451614,77.64509275483871,NO PARKING
161,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.987321999999999,77.56789349259259,NO PARKING
162,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.861967502739725,77.53001930958904,WRONG PARKING
163,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.835656334615383,77.67918780576923,PARKING ON FOOTPATH
164,2024-04-08 12:00:00,0.0,0,12,0,0,4,0.0,0.0,0.0,0.0,0.017321816,0.017173503,12.917151740000001,77.59606377958333,NO PARKING
